Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,201.979996,202.869995,188.660004,189.539993,188.939941,15427900
2018-11-13,193.490005,204.210007,193.240005,199.309998,198.679016,16117800
2018-11-14,206.300003,206.880005,192.830002,197.190002,196.565720,13164500
2018-11-15,196.949997,205.300003,195.500000,202.389999,201.749252,21017700
2018-11-16,163.320007,170.660004,161.610001,164.429993,163.909424,49088000
2018-11-19,161.789993,161.820007,144.630005,144.699997,144.241898,42445500
2018-11-20,134.059998,154.259995,133.309998,149.080002,148.608032,42300800
2018-11-21,154.619995,155.300003,143.610001,144.710007,144.251862,25637400
2018-11-23,143.309998,149.589996,142.789993,145.000000,144.540939,10299200
2018-11-26,149.889999,153.470001,146.559998,153.050003,152.565445,20370800
2018-11-27,152.000000,157.009995,150.550003,153.729996,153.243301,18451500
2018-11-28,158.479996,160.279999,153.130005,160.070007,159.563248,20113100
2018-11-29,160.000000,161.500000,156.139999,157.360001,157.018768,13729300
2018-11-30,157.750000,163.860001,155.720001,163.429993,163.075607,18239100
2018-12-03,172.600006,174.679993,167.339996,170.039993,169.671265,22270100
2018-12-04,168.240005,168.440002,156.500000,157.110001,156.769302,20302800
2018-12-06,151.440002,158.490005,150.809998,158.289993,157.946747,17307700
2018-12-07,158.460007,158.869995,145.619995,147.610001,147.289917,17041900
2018-12-10,145.800003,152.860001,145.649994,151.860001,151.530685,15736800
2018-12-11,155.559998,155.889999,145.000000,148.190002,147.868652,16797800
2018-12-12,148.419998,152.779999,144.820007,148.899994,148.577103,16353400
2018-12-13,150.789993,153.380005,147.440002,148.889999,148.567123,11784600
2018-12-14,147.210007,150.589996,145.500000,146.449997,146.132416,11795500
2018-12-17,145.240005,148.149994,141.240005,143.580002,143.268646,16571700
2018-12-18,145.350006,150.330002,144.250000,146.940002,146.621368,14109300
2018-12-19,145.580002,147.740005,136.429993,138.509995,138.209641,18634100
2018-12-20,138.169998,141.800003,132.690002,135.100006,134.807037,18739700
2018-12-21,136.169998,137.500000,128.460007,129.570007,129.289047,21593500
2018-12-24,126.489998,129.979996,124.500000,127.080002,126.804428,11596000
2018-12-26,128.940002,133.139999,124.459999,133.100006,132.811386,17377500
2018-12-27,130.990005,132.380005,125.180000,131.169998,130.885559,15926100
2018-12-28,132.000000,137.389999,130.309998,133.649994,133.360184,15718200
2018-12-31,135.399994,136.710007,132.259995,133.500000,133.210510,11628500
2019-01-02,130.639999,138.479996,130.050003,136.220001,135.924606,12718800
2019-01-03,133.789993,135.160004,127.690002,127.989998,127.712448,17638800
2019-01-04,130.940002,137.729996,129.699997,136.190002,135.894669,14640500
2019-01-07,138.500000,144.889999,136.429993,143.399994,143.089020,17729000
2019-01-08,146.690002,146.779999,136.899994,139.830002,139.526779,19650400
2019-01-09,141.899994,144.490005,139.860001,142.580002,142.270828,15431500
2019-01-10,141.800003,145.580002,139.360001,145.229996,144.915070,13078900
2019-01-11,144.330002,149.750000,143.210007,148.830002,148.507263,21869100
2019-01-14,146.720001,151.460007,145.770004,150.440002,150.113770,18254200
2019-01-15,151.759995,153.350006,149.130005,149.869995,149.544998,15425300
2019-01-16,150.970001,152.300003,148.619995,148.839996,148.517242,11752600
2019-01-17,147.509995,153.330002,146.410004,151.720001,151.391006,12335900
2019-01-18,153.729996,157.979996,151.649994,156.929993,156.589691,16283400
2019-01-22,155.710007,156.179993,147.550003,148.770004,148.447403,16538800
2019-01-23,151.000000,154.580002,148.029999,149.289993,148.966248,14775500
2019-01-24,152.699997,158.550003,152.509995,157.839996,157.497711,17724300
2019-01-25,155.440002,160.880005,151.300003,160.149994,159.802719,28864300
2019-01-28,136.550003,141.639999,131.000000,138.009995,137.710724,62788200
2019-01-29,136.149994,138.100006,131.009995,131.600006,131.314636,28848300
2019-01-30,134.669998,137.970001,131.460007,137.389999,137.092072,24355700
2019-01-31,137.259995,145.190002,136.380005,143.750000,143.438278,21071300
2019-02-01,144.500000,146.789993,142.580002,144.729996,144.416153,15626200
2019-02-04,145.369995,150.679993,144.479996,149.179993,148.856491,13214800
2019-02-05,149.660004,151.429993,148.300003,149.949997,149.624832,13560600
2019-02-06,151.289993,155.600006,151.070007,153.000000,152.668213,17561600
2019-02-07,151.130005,151.220001,145.690002,147.419998,147.100327,15928000
2019-02-08,144.710007,148.600006,144.130005,148.169998,147.848694,11540100
2019-02-11,146.389999,148.580002,144.500000,146.449997,146.132416,12379500
2019-02-12,148.000000,151.800003,147.419998,151.169998,150.842194,14776500
2019-02-13,152.360001,155.830002,151.809998,152.880005,152.548492,15134300
2019-02-14,152.839996,155.669998,151.100006,154.529999,154.194901,20681600
2019-02-15,162.949997,163.869995,156.419998,157.339996,156.998810,37918700
2019-02-19,156.910004,159.889999,156.139999,156.639999,156.300323,13797300
2019-02-20,157.820007,161.259995,157.369995,158.550003,158.206177,13524700
2019-02-21,159.059998,160.050003,155.179993,155.770004,155.432220,11213700
2019-02-22,157.860001,159.949997,157.309998,159.190002,158.844803,10043500
